PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,PROMPT,HIGHLIGHTS,UNIMPORTANT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",0,1749555026826,1749555028243,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",1,1749555026848,1749555027051,e,69, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",2,1749555026894,1749555027006,s,83, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",3,1749555028266,1749555029459,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",4,1749555028770,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",5,1749555028800,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",6,1749555028846,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",7,1749555028877,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",8,1749555028909,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",9,1749555028940,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",10,1749555028971,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",11,1749555029002,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",12,1749555029032,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",13,1749555029063,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",14,1749555029110,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",15,1749555029140,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",16,1749555029171,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",17,1749555029203,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",18,1749555029234,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",19,1749555029265,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",20,1749555029295,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",21,1749555029327,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",22,1749555029373,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",23,1749555029405,0,w,87, Rarely
f,free,1,weswwwwwwwwwwwwwwwwwwwwww,"[15,17]","",24,1749555029436,0,w,87, Rarely
