PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,PROMPT,HIGHLIGHTS,UNIMPORTANT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY
g,free,0,ewrwererwrwer,"[11,12]","",0,1749486088996,1749486089217,e,69, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",1,1749486088999,1749486089173,w,87, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",2,1749486089153,1749486089309,r,82, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",3,1749486089308,1749486089397,w,87, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",4,1749486089330,1749486089420,e,69, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",5,1749486089375,1749486089511,r,82, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",6,1749486089488,1749486089735,e,69, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",7,1749486089556,1749486089672,r,82, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",8,1749486089600,1749486089736,w,87, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",9,1749486089693,1749486089802,r,82, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",10,1749486089780,1749486089893,w,87, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",11,1749486089781,1749486089894,e,69, Monthly
g,free,0,ewrwererwrwer,"[11,12]","",12,1749486089847,1749486089961,r,82, Monthly
