PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,PROMPT,HIGHLIGHTS,UNIMPORTANT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY
y,free,1,fffffffffffffffffffff,"[12,14]","",0,1749555481058,1749555482226,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",1,1749555481557,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",2,1749555481603,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",3,1749555481634,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",4,1749555481665,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",5,1749555481698,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",6,1749555481729,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",7,1749555481760,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",8,1749555481790,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",9,1749555481821,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",10,1749555481868,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",11,1749555481898,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",12,1749555481928,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",13,1749555481952,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",14,1749555481998,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",15,1749555482029,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",16,1749555482062,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",17,1749555482092,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",18,1749555482123,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",19,1749555482154,0,f,70, Monthly
y,free,1,fffffffffffffffffffff,"[12,14]","",20,1749555482184,0,f,70, Monthly
